StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,consent,sex,sex_3_TEXT,social support_1,social support_2,social support_3,social support_4,social support_5,social support_6,social support_7,social support_8,social support_9,social support_10,social support_11,social support_12,online SS_1,online SS_2,online SS_3,online SS_4,online SS_5,online SS_6,online SS_7,online SS_8,online SS_9,online SS_10,online SS_11,online SS_12,online SS_13,online SS_14,online SS_15,online SS_16,online SS_17,online SS_18,online SS_19,online SS_20,online SS_21,online SS_22,online SS_23,online SS_24,mental wellbeing_1,mental wellbeing_2,mental wellbeing_3,mental wellbeing_4,mental wellbeing_5,mental wellbeing_6,mental wellbeing_7,mental wellbeing_8,mental wellbeing_9,mental wellbeing_10,mental wellbeing_11,mental wellbeing_12,mental wellbeing_13,mental wellbeing_14,mental wellbeing_15,stress scale_1,stress scale_2,stress scale_3,stress scale_4,stress scale_5,stress scale_6,stress scale_7,stress scale_8,stress scale_9,stress scale_10,stress scale_11,stress scale_12,social desirability_1,social desirability_2,social desirability_3,social desirability_4,social desirability_5,social desirability_6
12/11/2020 6:42,12/11/2020 6:45,0,100,165,1,12/11/2020 6:45,anonymous,TR,1,1,,3,3,1,3,2,5,2,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,3,3,2,3,3,3,3,3,2,4,3,2,3,4,2,3,4,3,3,4,4,4,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2
12/11/2020 7:03,12/11/2020 7:09,0,100,367,1,12/11/2020 7:09,anonymous,TR,1,1,,4,5,4,5,5,4,4,5,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,2,1,4,2,1,1,3,4,2,4,2,2,2,3,4,4,3,4,5,3,2,4,4,2,5,3,3,4,5,5,3,2,4,2,4,3,2,3,3
12/11/2020 7:48,12/11/2020 7:56,0,100,457,1,12/11/2020 7:56,anonymous,TR,1,1,,2,2,5,4,5,5,5,5,5,2,5,5,3,4,4,4,4,3,3,4,3,2,2,3,1,4,3,1,1,2,1,3,3,3,2,2,5,5,2,5,4,5,5,5,5,3,5,5,5,4,3,3,2,3,3,5,3,4,1,4,5,3,2,3,5,3,3,2,4
12/11/2020 8:16,12/11/2020 8:22,0,100,395,1,12/11/2020 8:22,anonymous,TR,1,1,,4,4,5,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,3,3,4,2,2,3,1,4,2,1,2,4,2,3,2,2,2,2,4,4,2,3,2,4,4,4,3,3,4,5,4,3,3,2,3,3,3,4,3,4,2,5,5,2,4,4,4,2,2,2,5
12/11/2020 8:16,12/11/2020 8:31,0,100,905,1,12/11/2020 8:31,anonymous,TR,1,1,,4,4,3,2,5,3,3,2,3,5,4,4,4,3,3,3,3,3,3,3,4,3,4,3,2,4,2,2,3,3,3,4,3,3,5,4,2,2,2,4,2,2,3,2,3,3,2,2,3,3,1,5,4,3,5,3,3,3,5,4,3,4,5,3,3,1,4,3,3
12/11/2020 8:26,12/11/2020 8:33,0,100,412,1,12/11/2020 8:33,anonymous,TR,1,1,,5,5,3,3,5,5,5,2,5,5,5,5,3,3,2,2,3,2,2,2,3,2,1,5,2,4,2,3,3,3,2,2,2,2,2,3,3,3,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3
12/11/2020 10:59,12/11/2020 11:09,0,100,630,1,12/11/2020 11:09,anonymous,TR,1,2,,4,4,4,3,4,4,4,2,4,4,3,4,3,3,2,3,2,3,3,3,4,4,4,4,3,4,3,3,3,3,2,3,4,4,4,3,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,2,2,2,2,1,3
12/11/2020 9:32,12/11/2020 11:57,0,100,8676,1,12/11/2020 11:57,anonymous,TR,1,1,,5,5,4,3,4,4,4,3,5,4,4,5,4,5,5,5,5,3,5,5,4,4,4,5,4,4,4,4,3,4,3,4,4,4,3,4,3,4,2,3,1,3,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3,4,3,3,3,2,2,4
12/11/2020 11:59,12/11/2020 12:06,0,100,367,1,12/11/2020 12:06,anonymous,TR,1,1,,4,4,5,5,5,5,5,5,5,4,4,5,4,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,2,4,4,3,4,4,4,3,4,3,5,4,4,4,4,4,4,3,3,4,2,4,4,3,3,3,2,2,2,3,4
12/11/2020 12:45,12/11/2020 12:50,0,100,261,1,12/11/2020 12:50,anonymous,TR,1,3,Non binary ,4,4,3,3,4,3,3,2,4,5,3,3,3,3,4,3,3,4,4,3,3,4,4,3,3,4,3,3,3,3,3,4,4,4,3,3,3,3,2,3,2,3,3,3,3,3,3,4,4,3,3,4,5,5,5,3,3,3,3,3,3,5,5,2,2,2,2,1,3
