Sex,Nationality,Country_of_residence,Work_regions,Periods,Werknemers_1,Sex_%,,,
Male,Belgian,Belgium,East Groningen,2010,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2011,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2012,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2013,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2014,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2015,10,1.000,,,
Male,Belgian,Belgium,East Groningen,2016,10,0.500,,,
Male,Belgian,Belgium,East Groningen,2017,10,1.000,,,
Male,Belgian,Belgium,Delfzijl and surroundings,2013,10,1.000,,,
Male,Belgian,Belgium,Delfzijl and surroundings,2014,10,1.000,,,
Male,Belgian,Belgium,Delfzijl and surroundings,2016,10,1.000,,,
Male,Belgian,Belgium,Delfzijl and surroundings,2017,10,1.000,,,
Male,Belgian,Belgium,Delfzijl and surroundings,2018,10,1.000,,,
Male,Belgian,Belgium,Other Groningen ,2010,10,0.500,,,
Male,Belgian,Belgium,Other Groningen ,2011,20,0.667,,,
Male,Belgian,Belgium,Other Groningen ,2012,20,0.667,,,
Male,Belgian,Belgium,Other Groningen ,2013,30,0.600,,,
Male,Belgian,Belgium,Other Groningen ,2014,50,0.714,,,
Male,Belgian,Belgium,Other Groningen ,2015,40,0.667,,,
Male,Belgian,Belgium,Other Groningen ,2016,60,0.667,,,
Male,Belgian,Belgium,Other Groningen ,2017,50,0.833,,,
Male,Belgian,Belgium,Other Groningen ,2018,20,0.667,,,
Male,Belgian,Belgium,North Frisia,2010,10,1.000,,,
Male,Belgian,Belgium,North Frisia,2011,10,1.000,,,
Male,Belgian,Belgium,North Frisia,2012,10,1.000,,,
Male,Belgian,Belgium,North Frisia,2013,20,1.000,,,
Male,Belgian,Belgium,North Frisia,2014,20,1.000,,,
Male,Belgian,Belgium,North Frisia,2015,20,0.667,,,
Male,Belgian,Belgium,North Frisia,2016,30,0.750,,,
Male,Belgian,Belgium,North Frisia,2017,20,0.667,,,
Male,Belgian,Belgium,North Frisia,2018,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2011,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2012,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2013,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2014,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2015,20,1.000,,,
Male,Belgian,Belgium,South West Friesland,2016,10,1.000,,,
Male,Belgian,Belgium,South West Friesland,2017,20,1.000,,,
Male,Belgian,Belgium,South West Friesland,2018,10,1.000,,,
Male,Belgian,Belgium,South East Friesland,2010,10,1.000,,,
Male,Belgian,Belgium,South East Friesland,2011,20,1.000,,,
Male,Belgian,Belgium,South East Friesland,2012,10,1.000,,,
Male,Belgian,Belgium,South East Friesland,2013,20,1.000,,,
Male,Belgian,Belgium,South East Friesland,2014,20,1.000,,,
Male,Belgian,Belgium,South East Friesland,2015,20,1.000,,,
Male,Belgian,Belgium,South East Friesland,2016,30,0.750,,,
Male,Belgian,Belgium,South East Friesland,2017,20,1.000,,,
Male,Belgian,Belgium,South East Friesland,2018,10,1.000,,,
Male,Belgian,Belgium,North Drenthe ,2010,0,0.000,,,
Male,Belgian,Belgium,North Drenthe ,2011,10,0.500,,,
Male,Belgian,Belgium,North Drenthe ,2012,10,0.500,,,
Male,Belgian,Belgium,North Drenthe ,2013,10,0.500,,,
Male,Belgian,Belgium,North Drenthe ,2014,10,0.500,,,
Male,Belgian,Belgium,North Drenthe ,2015,10,0.500,,,
Male,Belgian,Belgium,North Drenthe ,2016,20,1.000,,,
Male,Belgian,Belgium,North Drenthe ,2017,10,1.000,,,
Male,Belgian,Belgium,Southeast Drenthe ,2010,10,0.333,,,
Male,Belgian,Belgium,Southeast Drenthe ,2011,10,0.250,,,
Male,Belgian,Belgium,Southeast Drenthe ,2012,10,0.333,,,
Male,Belgian,Belgium,Southeast Drenthe ,2013,10,0.333,,,
Male,Belgian,Belgium,Southeast Drenthe ,2014,20,0.500,,,
Male,Belgian,Belgium,Southeast Drenthe ,2015,20,0.400,,,
Male,Belgian,Belgium,Southeast Drenthe ,2016,10,0.333,,,
Male,Belgian,Belgium,Southeast Drenthe ,2017,10,0.333,,,
Male,Belgian,Belgium,Southeast Drenthe ,2018,10,0.500,,,
Male,Belgian,Belgium,Southwest Drenthe ,2010,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2011,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2012,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2013,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2014,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2015,10,1.000,,,
Male,Belgian,Belgium,Southwest Drenthe ,2016,20,0.667,,,
Male,Belgian,Belgium,Southwest Drenthe ,2017,10,0.500,,,
Male,Belgian,Belgium,North Overijssel ,2010,20,0.667,,,
Male,Belgian,Belgium,North Overijssel ,2011,20,0.667,,,
Male,Belgian,Belgium,North Overijssel ,2012,20,0.667,,,
Male,Belgian,Belgium,North Overijssel ,2013,30,0.750,,,
Male,Belgian,Belgium,North Overijssel ,2014,40,0.667,,,
Male,Belgian,Belgium,North Overijssel ,2015,30,0.600,,,
Male,Belgian,Belgium,North Overijssel ,2016,40,0.667,,,
Male,Belgian,Belgium,North Overijssel ,2017,50,0.714,,,
Male,Belgian,Belgium,North Overijssel ,2018,40,0.571,,,
Male,Belgian,Belgium,Southwest Overijssel,2011,10,1.000,,,
Male,Belgian,Belgium,Southwest Overijssel,2012,10,0.500,,,
Male,Belgian,Belgium,Southwest Overijssel,2013,10,0.500,,,
Male,Belgian,Belgium,Southwest Overijssel,2014,10,0.500,,,
Male,Belgian,Belgium,Southwest Overijssel,2015,20,0.667,,,
Male,Belgian,Belgium,Southwest Overijssel,2016,20,0.667,,,
Male,Belgian,Belgium,Southwest Overijssel,2017,20,0.667,,,
Male,Belgian,Belgium,Southwest Overijssel,2018,20,0.500,,,
Male,Belgian,Belgium,Twente,2010,30,0.750,,,
Male,Belgian,Belgium,Twente,2011,30,0.750,,,
Male,Belgian,Belgium,Twente,2012,40,0.800,,,
Male,Belgian,Belgium,Twente,2013,50,0.714,,,
Male,Belgian,Belgium,Twente,2014,60,0.750,,,
Male,Belgian,Belgium,Twente,2015,60,0.750,,,
Male,Belgian,Belgium,Twente,2016,70,0.700,,,
Male,Belgian,Belgium,Twente,2017,50,0.714,,,
Male,Belgian,Belgium,Twente,2018,60,0.667,,,
Male,Belgian,Belgium,Veluwe,2010,40,0.667,,,
Male,Belgian,Belgium,Veluwe,2011,50,0.714,,,
Male,Belgian,Belgium,Veluwe,2012,50,0.714,,,
Male,Belgian,Belgium,Veluwe,2013,60,0.750,,,
Male,Belgian,Belgium,Veluwe,2014,70,0.700,,,
Male,Belgian,Belgium,Veluwe,2015,90,0.750,,,
Male,Belgian,Belgium,Veluwe,2016,90,0.692,,,
Male,Belgian,Belgium,Veluwe,2017,100,0.769,,,
Male,Belgian,Belgium,Veluwe,2018,70,0.700,,,
Male,Belgian,Belgium,South West Gelderland ,2010,40,0.800,,,
Male,Belgian,Belgium,South West Gelderland ,2011,50,0.833,,,
Male,Belgian,Belgium,South West Gelderland ,2012,60,0.750,,,
Male,Belgian,Belgium,South West Gelderland ,2013,60,0.750,,,
Male,Belgian,Belgium,South West Gelderland ,2014,70,0.778,,,
Male,Belgian,Belgium,South West Gelderland ,2015,80,0.800,,,
Male,Belgian,Belgium,South West Gelderland ,2016,90,0.818,,,
Male,Belgian,Belgium,South West Gelderland ,2017,90,0.818,,,
Male,Belgian,Belgium,South West Gelderland ,2018,90,0.900,,,
Male,Belgian,Belgium,Back corner,2010,10,0.500,,,
Male,Belgian,Belgium,Back corner,2011,20,0.667,,,
Male,Belgian,Belgium,Back corner,2012,20,0.667,,,
Male,Belgian,Belgium,Back corner,2013,20,0.500,,,
Male,Belgian,Belgium,Back corner,2014,30,0.600,,,
Male,Belgian,Belgium,Back corner,2015,40,0.667,,,
Male,Belgian,Belgium,Back corner,2016,30,0.600,,,
Male,Belgian,Belgium,Back corner,2017,30,0.750,,,
Male,Belgian,Belgium,Back corner,2018,30,0.750,,,
Male,Belgian,Belgium,Arnhem/Nijmegen ,2010,70,0.700,,,
Male,Belgian,Belgium,Arnhem/Nijmegen ,2011,80,0.667,,,
Male,Belgian,Belgium,Arnhem/Nijmegen ,2012,100,0.714,,,
Male,Belgian,Belgium,Arnhem/Nijmegen ,2013,110,0.733,,,
